min,max,mean,median,q25,q75,k,method,res1,res15,res2,res2.5,res3,res3.5,res45,res4,res5,res6,res7,res8,res9,removed_group,off_diag
0.3637477006405107,0.9971340422662001,0.7527337199435415,0.8973194169239138,0.6305335587822123,0.9472267295950569,3,Ours,3,3,3,3,3,3,2,2,2,2,2,2,1,1,0.1043565705732284
0.4410711736171377,0.9828386603723619,0.7464050889695537,0.8153054329191617,0.6281883032681497,0.8990720466457618,3,LDA,3,3,3,3,3,3,3,2,2,2,2,2,1,1,0.09758651732072206
0.021303638329259585,0.39491902951383134,0.16951166769334816,0.09231233523695352,0.05680798678310656,0.24361568237539244,3,SLDA,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0.1056450218357216
0.011438388260363032,0.8142546564473844,0.520819864563407,0.7367665489824736,0.3741024686214183,0.775510602714929,3,tLDA,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0.17966089309069733
0.4269329908362618,0.9981524210643135,0.7473352708871512,0.7821278358240149,0.5903353265571014,0.9391277801540647,4,Ours,4,4,4,4,4,4,4,3,3,3,2,2,2,1,0.13504422384381218
0.00454759781425031,0.9993593064109279,0.6466359268188785,0.7913184015251677,0.5778091099512771,0.8601452183927691,4,LDA,3,3,3,3,3,3,3,3,3,3,3,2,1,1,0.1084825842052453
0.00615928517966348,0.2347763215152258,0.10882732872743024,0.09718685410741584,0.05949202572626582,0.14652215710858027,4,SLDA,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0.038769092042387
0.085166444401952,0.9266622235067121,0.4779269427370342,0.4499395515197363,0.3461870503627766,0.581679443893994,4,tLDA,3,3,3,3,3,3,3,2,1,1,1,1,1,1,0.13754266820531572
0.04475128067067746,0.9984708649239016,0.5967024098160691,0.5807304740607133,0.43911461157959947,0.9204448178454538,5,Ours,4,4,4,4,4,4,4,3,3,2,2,2,2,1,0.11656389681513787
0.12138837445165661,0.9994811193644308,0.6861403115181471,0.8659524034050727,0.4850576110195585,0.9588220493500172,5,LDA,5,4,4,4,4,4,4,4,3,3,3,3,2,1,0.054751479536699475
0.03556380093006193,0.3647486185302445,0.14412168713639079,0.09798060485452705,0.0964946000070534,0.125820811360067,5,SLDA,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0.04280366521466484
0.21356505842637255,0.9092856653553023,0.5435512602528878,0.5633932253621134,0.36936298859484484,0.6621493635258061,5,tLDA,5,5,5,4,4,4,3,3,3,2,1,1,1,1,0.1508744014702941
0.0074743909116738415,0.9983550739329945,0.632443982157784,0.8104828809130948,0.33299645883765383,0.9481464813257781,6,Ours,5,5,4,4,4,4,4,4,4,4,4,3,2,1,0.10635028986098825
0.12322766489961672,0.999594691925342,0.6973156771135727,0.9091229551423401,0.4278539480348085,0.9588268762152093,6,LDA,6,5,5,5,4,4,4,4,4,4,4,4,3,1,0.06462504775300595
0.0033372875914488634,0.3775708925069581,0.18759122220560231,0.18282059139993934,0.041634568416927115,0.33402420503453867,6,SLDA,3,3,3,3,2,2,0,0,0,0,0,0,0,1,0.025927883039350674
0.09782493882540236,0.8667708694913292,0.5407394051912064,0.5829305657879871,0.3235032389475164,0.8034466623873766,6,tLDA,5,5,5,5,4,4,4,3,3,3,3,2,0,1,0.13133137393284058
0.007487508921834864,0.9983171577115161,0.6266118753291188,0.7931485769468876,0.3719269841182325,0.9217379577435638,7,Ours,5,5,5,5,5,5,5,5,5,5,4,3,2,1,0.1056435139415948
1.5799670059935453e-4,0.9995339750957605,0.6438712171925746,0.8360255482341974,0.36009584079024337,0.9755946593684891,7,LDA,5,5,5,5,5,5,5,5,5,5,4,4,3,1,0.06428366969347102
0.010292193458572295,0.277222708197162,0.1324464449806159,0.09997738863258572,0.05600993147361569,0.21380648081437992,7,SLDA,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0.021070507345471105
0.005770577065939706,0.8795279574632063,0.5382071522841131,0.6655278259871872,0.3510741183238585,0.7572377344123706,7,tLDA,6,6,5,5,5,5,5,5,5,4,3,1,0,1,0.1355673993934136
0.007421769902571433,0.9982118869643163,0.6578352633063799,0.7988089014559008,0.5183548755026036,0.9092546934649215,8,Ours,7,6,6,6,6,6,6,6,6,6,5,4,2,1,0.10584753467099615
0.0030907660703643042,0.9995995638328183,0.7135251823239244,0.7961838750746626,0.6082839301993803,0.980863892691604,8,LDA,7,7,7,7,7,7,7,7,6,6,5,4,3,1,0.082681009845066
0.001673736873624947,0.42081547193650926,0.11194650513439644,0.06811316069914768,0.028755729999717723,0.13456075253741498,8,SLDA,3,2,1,1,1,1,1,0,0,0,0,0,0,1,0.021446118092250718
0.013491925234500664,0.9966972870018184,0.5459117312871339,0.5156651850702736,0.26855220871386665,0.9701926702466614,8,tLDA,6,6,6,6,6,5,5,5,4,3,3,3,3,1,0.08568770822268182
0.007615155510089189,0.9983273828082204,0.6544318204599266,0.787165762366342,0.6442096454368982,0.8214623985031199,9,Ours,8,8,7,7,7,7,7,7,7,7,5,4,2,1,0.10851534981664991
0.003510757336661612,0.9988543655630744,0.7205243123079877,0.8971047011245084,0.5959414696720785,0.9210308244734494,9,LDA,8,8,8,8,8,8,8,8,8,6,6,5,3,1,0.07650225202439676
0.0024390461179455134,0.3545272142743179,0.11511799287794419,0.058117229597756795,0.0515135895803679,0.13387593501246942,9,SLDA,4,2,2,2,1,1,0,0,0,0,0,0,0,1,0.021132534781740115
0.09801219858882596,0.9525477854881067,0.5900718852632766,0.6915771780300518,0.3975433431065333,0.8651819938608081,9,tLDA,8,7,7,7,7,7,6,6,6,5,4,3,2,1,0.1287384663060245
0.02309948921687205,0.9983925576401409,0.6881905090268915,0.8423768004760559,0.5534690062316763,0.9150595045045756,10,Ours,9,9,8,8,8,8,8,8,8,7,6,6,3,1,0.11738615396261211
